,explanation,type,word
147,step on; mate with; place the foot,v. ,tread
148,disloyalty; betrayal of trust or confidence,n. Syn. perfidy; betrayal,treason
149,handling; care that are intended to relieve illness or injury,n. Syn. handling,treatment
150,act of treating for the adjustment of differences; negotiation,n. ,treaty
151,"shake involuntarily, as with fear, cold, or weakness; quake; quiver; shiver; shudder",v. ,tremble
152,huge; capable of making one tremble; terrible,a. Syn. huge; enormous; gigantic; terrible,tremendous
153,"canal; deep furrow or ditch; long, steep-sided valley on the ocean floor",n. Syn. ditch; canal,trench
154,popular taste; general direction in which something tends to move,n. Syn. tendency,trend
155,experiment; act of testing; examination of evidence to determine the charges or claims,n. Syn. experiment,trial
156,"family, race, or series of generations, descending from the same direct ancestor, and kept distinct",n. ,tribe
157,payment in money made by one ruler or nation; tax; mark of respect; praiseworthy quality,n. Syn. praise; tax,tribute
158,cunning or deceitful activity; attempt to get others to do something foolish,n. ,trick
159,flow in drops; run or flow slowly; drip,v. Syn. dribble; drip,trickle
160,a thing of very little value or importance,n. ,trifle
161,cause something happen; set off,v. Syn. initiate; start,trigger
162,clip; cut down to the desired size or shape,v. Syn. clip; prune,trim
163,consisting of three united; multiplied by three; threefold; three times repeated,a. ,triple
164,victory; win; expressing great joy,n. Syn. victory,triumph
165,unimportant; of little significance or value; ordinary; commonplace,a. Syn. unimportant; trifling; commonplace,trivial
166,"one of the two small circles of the celestial sphere, situated on each side of the equator, and parallel to it;  hot and humid place",n. ,tropic
167,relating to region on either side of the equator; hot and humid,a. ,tropical
168,annoying; bothersome,a. Syn. annoying; bothersome,troublesome
169,brass musical instrument with brilliant tone,n. ,trumpet
170,"stem, or body, of a tree; main stem, without the branches; body of animal apart from the head and limbs",n. ,trunk
171,a large open vessel for holding or storing liquids,n. ,tub
172,hollow cylindrical shape; underground railway,n. ,tube
173,make one or more folds in; store in a safe spot; put in a snug spot,v. ,tuck
174,pull or draw with great effort; draw along with continued exertion; haul along; tow,v. ,tug
175,"teaching pupils individually; fee for instruction, especially at a formal institution of learning",n. ,tuition
176,"fall down, as if collapsing",v. ,tumble
177,"noise, as made by a crowd;  riot or uprising",n. Syn. commotion; riot; noise,tumult
178,"passageway through or under something, usually underground",n. ,tunnel
179,characterized by unrest or disorder,a. Syn. violent; tempestuous; furious,turbulent
180,act or result of turning over; upset; amount of money turned over or drawn in a business in a specified time; amount of people replaced in a business,n. ,turnover
181,guide; give individual instruction,v. Syn. guide; direct,tutor
182,small branch or division of a branch,n. ,twig
183,"light perceived before the rising, and after the setting, of the sun; faint light; dubious or uncertain medium through which anything is viewed",n. ,twilight
184,open and shut the eye rapidly; blink; wink,v. ,twinkle
185,turn in the opposite direction; form into a spiral shape,v. ,twist
186,tropical cyclone occurring in the western Pacific; violent whirlwind,n. Syn. cyclone,typhoon
187,conforming to a type; representative,a. Syn. average; representative,typical
188,oppression; cruel government; office or authority of an absolute ruler; absolute power,n. Syn. oppression,tyranny
189,absolute ruler; sovereign unrestrained by law or constitution,n. ,tyrant
190,"tire; covering for a wheel, usually made of rubber reinforced with cords of nylon",n. Syn. tire,tyre
0,offensive to the sight; contrary to beauty; disagreeable aspect; unsightly,a. ,ugly
1,final; being the last or concluding; fundamental; elemental; extreme,a. Syn. final; fundamental; extreme,ultimate
2,as final consequence; at last; in the end,ad. ,ultimately
3,supersonic; higher in frequency than the range of sound perceptible to the human ear,a. Syn. supersonic,ultrasonic
4,wave lengths shorter than light but longer than X rays,a. ,ultraviolet
5,uniform; in complete agreement,a. Syn. uniform; agreed,unanimous
6,"unendurable; so unpleasant, distasteful, or painful as to be intolerable",a. Syn. unendurable; intolerable,unbearable
7,lacking awareness; senseless; unaware,a. ,unconscious
8,remove the cover from; expose; disclose,v. Syn. reveal; expose; disclose,uncover
9,make too low an estimate of the quantity; undervalue,v. Syn. undervalue,underestimate
10,experience; suffer; pass through,v. Syn. experience; suffer,undergo
11,university student who has not yet received a first degree,n. ,undergraduate
12,under the level of the ground; buried,a. Syn. subterranean; buried,underground
13,"mark a line below, as words; underscore.",v. ,underline
14,lying under or beneath something; basic; implicit; taking precedence; prior,a. Syn. fundamental; implicit,underlying
15,weaken by wearing away base or foundation; injure or impair; dig a mine or tunnel beneath,v. Syn. weaken,undermine
16,under or below an object or a surface; lower down on the page,ad. ,underneath
17,take on; embark on; assume,v. Syn. embark; assume,undertake
18,task or assignment undertaken; career,n. Syn. task; project; career,undertaking
19,release; cause the ruin or downfall of; cancel or reverse an action,v. Syn. release,undo
20,unquestionably; without doubt; certainly,ad. Syn. unquestionably; indubitably,undoubtedly
21,"not due; not yet owing; not just, proper, or legal; ; excessive",a. ,undue
22,"not easy; difficult; restless; disturbed by pain, anxiety",a. ,uneasy
23,"unjust; contrary to laws or conventions, especially in commerce",a. Syn. unjust; biased,unfair
24,extend or stretch out to a greater or the full length; happen,v. ,unfold
25,unluckily; by bad luck,ad. Syn. unluckily,unfortunately
26,consistent; standardized; clothing of a particular group,n. ,uniform
27,without an equal; being the only one of its kind,a. Syn. alone; single; sole,unique
28,cohesion; harmony; quality of being united into one,n. Syn. cohesion; harmony,unity
29,affecting all; general; present everywhere; relating to the entire world or all within the world; worldwide,a. Syn. comprehensive; general; worldwide,universal
30,cosmos; everything that exists anywhere,n. Syn. cosmos,universe
31,improbable; has little chance of being the case or coming about,a. Syn. improbable,unlikely
32,take something off a container,v. ,unload
33,having no previous example; novel; unparalleled,a. Syn. novel; unparalleled,unprecedented
34,not giving satisfaction;  inadequate,a. Syn. inadequate,unsatisfactory
35,inconstant; variable; lacking control of one's emotions; constantly changing,a. Syn. inconstant; volatile,unstable
36,"having no justification; groundless; not guaranteed to be good, sound, or of a certain quality",a. Syn. unjustified; groundless; undeserved,unwarranted
37,support; preserve; hold aloft; raise,v. Syn. support; preserve; maintain,uphold
38,"in an erect position or posture; perpendicular; vertical, or nearly vertical; pointing upward",a. ,upright
39,concerned by anxious uneasiness or trouble or grief,a. Syn. worried; disturb; overturn,upset
40,"metropolitan;  of, relating to, or located in a city",a. Syn. municipal,urban
41,force in an indicated direction; stimulate; excite,v. Syn. entreat; advocate,urge
42,pressing; compelling immediate action or attention,a. Syn. pressing; compelling; immediate,urgent
43,"instrument, implement, or container for practical use, especially in kitchen or laboratory",n. ,utensil
44,something useful; public service,n. ,utility
45,state of having been made use of; the act of using,n. ,utilization
46,put into service; take advantage of,v. Syn. harness,utilize
47,farthest point or extremity; most distant; extreme,n. ,utmost
48,speak; express; send forth with the voice,v. Syn. speak; express,utter
49,vocal expression; power of speaking; last or utmost extremity,n. Syn. speech,utterance
50,absence; emptiness,n. Syn. absence; emptiness,vacancy
51,void of thought or knowledge; without an occupant or incumbent,a. Syn. empty; uninhabited,vacant
52,leisure time away from work; act of making something legally void,n. ,vacation
53,perform or produce immunity,v. ,vaccinate
54,empty area or space; electrical home appliance that cleans by suction,n. ,vacuum
55,imprecise; indistinct; not clearly expressed; inexplicit,a. Syn. imprecise; obscure; indistinct,vague
56,"having no real substance, value, or importance; empty; void; worthless; unsatisfying",a. ,vain
